franchise_id,franchise_name
1,Anno
2,Arkham
3,Assassin's Creed
4,Baldur's Gate
5,Bioshock
6,Borderlands
7,Civilization
8,Dead Space
9,Deus Ex
10,Dishonored
11,Divinity
12,Doom
13,Dragon Age
14,Dragon Quest
15,Dragon's Dogma
16,Endless Space
17,Europa Universalis
18,Everspace
19,Fallout
20,Final Fantasy
21,Fire Emblem
22,Freespace
23,Frostpunk
24,Galactic Civilizations
25,Gears of War
26,Ghostrunner
27,Grand Theft Auto
28,Guild Wars 2
29,Halo
30,Her Story
31,Hitman
32,Horizon: Zero Dawn
33,Injustice
34,Jedi Knight
35,Killing Floor
36,Knights of the Old Republic
37,Left 4 Dead
38,Mass Effect
39,Metro
40,Metroid
41,Middle Earth
42,Monster Hunter
43,Need for Speed
44,Ni No Kuni
45,Nier
46,Octopath Traveler
47,Out of the Park Baseball
48,Persona
49,Pillars of Eternity
50,Pokemon
51,Portal
52,Prince of Persia
53,Resident Evil
54,Rollercoaster Tycoon
55,Shadow Tactics
56,Shadowrun
57,Sins of a Solar Empire
58,South Park
59,Star Wars
60,Starcraft
61,Street Fighter
62,System Shock
63,Telltale Games
64,The Division
65,The Elder Scrolls
66,The Escapists
67,The Evil Within
68,The Last of Us
69,The Legend of Zelda
70,The Witcher
71,Titanfall
72,Tomb Raider
73,Total War
74,Trine
75,Two Point
76,Uncharted
77,Warhammer
78,Wasteland
79,Watch Dogs
80,Wolfenstein
81,X-Com
82,Xenoblade Chronicles
83,Ys
